"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)",0.4,1,"beta10",0,0.0144382974783,0.140761921406575,-0.270797475,0.302432025,0.0144382974783,0.0144382974783,TRUE
"Proposed Method (ADVI)",0.4,1,"beta11",0,-0.031313072347,0.151969673932689,-0.3170089,0.27071265,-0.031313072347,0.031313072347,TRUE
"Proposed Method (ADVI)",0.4,1,"beta12",0,0.1776731613,0.155168573383379,-0.135364475,0.4999767,0.1776731613,0.1776731613,TRUE
"Proposed Method (ADVI)",0.4,1,"beta13",0,0.005657799611,0.162718057810899,-0.30301605,0.3269848,0.005657799611,0.005657799611,TRUE
"Proposed Method (ADVI)",0.4,1,"beta14",0,0.180305102595,0.148337712896204,-0.1044126,0.468664475,0.180305102595,0.180305102595,TRUE
"Proposed Method (ADVI)",0.4,1,"beta15",0,-0.09948855797,0.152085931671101,-0.406683075,0.19928445,-0.09948855797,0.09948855797,TRUE
"Proposed Method (ADVI)",0.4,1,"beta16",0,0.33617870163,0.150890732640324,0.0272887125,0.6271688,0.33617870163,0.33617870163,FALSE
"Proposed Method (ADVI)",0.4,1,"beta17",0,-0.151826312505,0.164298974016808,-0.46517445,0.181937725,-0.151826312505,0.151826312505,TRUE
"Proposed Method (ADVI)",0.4,1,"beta18",0,0.064060983228,0.175944037332388,-0.283660225,0.417689775,0.064060983228,0.064060983228,TRUE
"Proposed Method (ADVI)",0.4,1,"beta19",0,-0.0631692393355,0.149058184816458,-0.3610739,0.21745785,-0.0631692393355,0.0631692393355,TRUE
"Proposed Method (ADVI)",0.4,1,"beta20",0,0.132597327906,0.148144946983071,-0.15162645,0.4237905,0.132597327906,0.132597327906,TRUE
"Proposed Method (ADVI)",0.4,1,"eta",0.4,0.5589168094,0.294385590413961,0.1758074,1.25513875,0.1589168094,0.1589168094,TRUE
"Naive Method (ADVI)",0.4,2,"beta1",1,0.53478602605,0.421215437664107,-0.295829375,1.3478265,-0.46521397395,0.46521397395,TRUE
"Naive Method (ADVI)",0.4,2,"beta2",2,-0.2618102239105,0.696531198228569,-1.5932295,1.0864565,-2.2618102239105,2.2618102239105,FALSE
"Naive Method (ADVI)",0.4,2,"beta3",3,0.77284850798,0.679577614951123,-0.597822125,2.10710525,-2.22715149202,2.22715149202,FALSE
"Naive Method (ADVI)",0.4,2,"beta4",-4,-1.81491461229,0.602450905905463,-2.99098,-0.676288025,2.18508538771,2.18508538771,FALSE
"Naive Method (ADVI)",0.4,2,"beta5",-5,-2.1015979005,0.741788639811569,-3.6033295,-0.600244925,2.8984020995,2.8984020995,FALSE
"Naive Method (ADVI)",0.4,2,"beta6",0,-1.04774608234,0.62107723136129,-2.2822525,0.161721025,-1.04774608234,1.04774608234,TRUE
"Naive Method (ADVI)",0.4,2,"beta7",0,-0.156311067721,0.383319414502599,-0.868936925,0.60103705,-0.156311067721,0.156311067721,TRUE
"Naive Method (ADVI)",0.4,2,"beta8",0,0.081508128467,0.401062968823542,-0.71056935,0.880884025,0.081508128467,0.081508128467,TRUE
"Naive Method (ADVI)",0.4,2,"beta9",0,0.63273488805,0.545279776565708,-0.406075375,1.66220425,0.63273488805,0.63273488805,TRUE
"Naive Method (ADVI)",0.4,2,"beta10",0,-0.41549405103,0.379959607558614,-1.2034635,0.315035275,-0.41549405103,0.41549405103,TRUE
"Naive Method (ADVI)",0.4,2,"beta11",0,-0.569940178405,0.610693910168166,-1.7569725,0.5901443,-0.569940178405,0.569940178405,TRUE
"Naive Method (ADVI)",0.4,2,"beta12",0,0.154920622317,0.534458716344802,-0.951137575,1.1501155,0.154920622317,0.154920622317,TRUE
"Naive Method (ADVI)",0.4,2,"beta13",0,0.410635526602,0.402750562953159,-0.372652075,1.21205775,0.410635526602,0.410635526602,TRUE
"Naive Method (ADVI)",0.4,2,"beta14",0,1.18227802977,0.686600231889567,-0.128341125,2.52907925,1.18227802977,1.18227802977,TRUE
"Naive Method (ADVI)",0.4,2,"beta15",0,0.836752233199,0.670920603505931,-0.462292725,2.17426125,0.836752233199,0.836752233199,TRUE
"Naive Method (ADVI)",0.4,2,"beta16",0,0.24368170272,0.51341368043578,-0.7608922,1.21232875,0.24368170272,0.24368170272,TRUE
"Naive Method (ADVI)",0.4,2,"beta17",0,0.95745215288,0.646643986230746,-0.38484165,2.18184075,0.95745215288,0.95745215288,TRUE
"Naive Method (ADVI)",0.4,2,"beta18",0,0.1811807362,0.425424872831148,-0.641145125,1.000617,0.1811807362,0.1811807362,TRUE
"Naive Method (ADVI)",0.4,2,"beta19",0,0.884669015252,0.580385874499246,-0.187631975,2.076491,0.884669015252,0.884669015252,TRUE
"Naive Method (ADVI)",0.4,2,"beta20",0,0.706577274031,0.565590280814932,-0.42236085,1.85099325,0.706577274031,0.706577274031,TRUE
"Proposed Method (ADVI)",0.4,2,"beta1",1,0.968712785,0.184286850800687,0.6293023,1.35646275,-0.031287215,0.031287215,TRUE
"Proposed Method (ADVI)",0.4,2,"beta2",2,2.00097274,0.225259625158658,1.54905875,2.4565435,0.000972739999999916,0.000972739999999916,TRUE
"Proposed Method (ADVI)",0.4,2,"beta3",3,3.6611084,0.34112782981474,2.98841075,4.33869325,0.6611084,0.6611084,TRUE
"Proposed Method (ADVI)",0.4,2,"beta4",-4,-4.17302076,0.378950657408551,-4.9130925,-3.41256825,-0.17302076,0.17302076,TRUE
"Proposed Method (ADVI)",0.4,2,"beta5",-5,-5.64190821,0.493716599830554,-6.5716495,-4.66436975,-0.64190821,0.64190821,TRUE
"Proposed Method (ADVI)",0.4,2,"beta6",0,-0.119654357506,0.156813346882207,-0.4446821,0.17060385,-0.119654357506,0.119654357506,TRUE
"Proposed Method (ADVI)",0.4,2,"beta7",0,0.023827290336,0.174883630226383,-0.318459975,0.3596304,0.023827290336,0.023827290336,TRUE
"Proposed Method (ADVI)",0.4,2,"beta8",0,0.1993817991801,0.182021383554998,-0.1474006,0.5567351,0.1993817991801,0.1993817991801,TRUE
"Proposed Method (ADVI)",0.4,2,"beta9",0,0.0556924896345,0.1846368052944,-0.311260575,0.4292193,0.0556924896345,0.0556924896345,TRUE
"Proposed Method (ADVI)",0.4,2,"beta10",0,-0.253109242097,0.136790237938404,-0.516672575,0.00798564349999992,-0.253109242097,0.253109242097,TRUE
"Proposed Method (ADVI)",0.4,2,"beta11",0,-0.038065656601,0.173521344753491,-0.370687525,0.297396875,-0.038065656601,0.038065656601,TRUE
"Proposed Method (ADVI)",0.4,2,"beta12",0,-0.1733200401651,0.159779255226608,-0.498373175,0.1463182,-0.1733200401651,0.1733200401651,TRUE
"Proposed Method (ADVI)",0.4,2,"beta13",0,0.25840844231,0.175289625979451,-0.08765536,0.610025,0.25840844231,0.25840844231,TRUE
"Proposed Method (ADVI)",0.4,2,"beta14",0,-0.122277938274,0.164597339931891,-0.453270525,0.19081285,-0.122277938274,0.122277938274,TRUE
"Proposed Method (ADVI)",0.4,2,"beta15",0,-0.13687969128,0.166627065341749,-0.45917115,0.21723415,-0.13687969128,0.13687969128,TRUE
"Proposed Method (ADVI)",0.4,2,"beta16",0,-0.2216508841349,0.154340076033034,-0.50812025,0.0923932125,-0.2216508841349,0.2216508841349,TRUE
"Proposed Method (ADVI)",0.4,2,"beta17",0,-0.30897551107,0.175265843650838,-0.644937075,0.0455698749999999,-0.30897551107,0.30897551107,TRUE
"Proposed Method (ADVI)",0.4,2,"beta18",0,0.15182901802564,0.177494406617627,-0.192366525,0.492299075,0.15182901802564,0.15182901802564,TRUE
"Proposed Method (ADVI)",0.4,2,"beta19",0,0.233509986872,0.155303797623529,-0.07944559,0.52836145,0.233509986872,0.233509986872,TRUE
"Proposed Method (ADVI)",0.4,2,"beta20",0,0.05277797982,0.166971722452041,-0.266401625,0.377227125,0.05277797982,0.05277797982,TRUE
"Proposed Method (ADVI)",0.4,2,"eta",0.4,0.4912695076,0.328801353676067,0.11250735,1.2778105,0.0912695076,0.0912695076,TRUE
"Naive Method (ADVI)",0.4,3,"beta1",1,0.961818335,0.18916026312686,0.58815605,1.3274735,-0.038181665,0.038181665,TRUE
"Naive Method (ADVI)",0.4,3,"beta2",2,2.25491407,0.261007019531237,1.73593125,2.77302275,0.25491407,0.25491407,TRUE
"Naive Method (ADVI)",0.4,3,"beta3",3,3.19085521,0.295339815680653,2.6055825,3.75016075,0.19085521,0.19085521,TRUE
"Naive Method (ADVI)",0.4,3,"beta4",-4,-4.46610565,0.387880282823167,-5.24132175,-3.74339625,-0.46610565,0.46610565,TRUE
"Naive Method (ADVI)",0.4,3,"beta5",-5,-5.50838324,0.451231640376625,-6.3809395,-4.6304375,-0.50838324,0.50838324,TRUE
"Naive Method (ADVI)",0.4,3,"beta6",0,0.0440080100205,0.177740594162364,-0.31701395,0.3944704,0.0440080100205,0.0440080100205,TRUE
"Naive Method (ADVI)",0.4,3,"beta7",0,-0.123266081711,0.175445720072442,-0.468105875,0.211938,-0.123266081711,0.123266081711,TRUE
"Naive Method (ADVI)",0.4,3,"beta8",0,-0.33452187336,0.170945252734314,-0.6813239,0.01256217,-0.33452187336,0.33452187336,TRUE
"Naive Method (ADVI)",0.4,3,"beta9",0,0.103352435244,0.183677223672212,-0.259866,0.449606975,0.103352435244,0.103352435244,TRUE
"Naive Method (ADVI)",0.4,3,"beta10",0,-0.042667955708,0.154037481865411,-0.361112225,0.2485459,-0.042667955708,0.042667955708,TRUE
"Naive Method (ADVI)",0.4,3,"beta11",0,0.0484316931266,0.164253494111555,-0.270563175,0.354958025,0.0484316931266,0.0484316931266,TRUE
"Naive Method (ADVI)",0.4,3,"beta12",0,0.323438767523,0.156959717105568,0.004971226,0.616824825,0.323438767523,0.323438767523,FALSE
"Naive Method (ADVI)",0.4,3,"beta13",0,-0.038792403545,0.146357275788448,-0.310307025,0.252370525,-0.038792403545,0.038792403545,TRUE
"Naive Method (ADVI)",0.4,3,"beta14",0,0.357043345772,0.164127955476078,0.0447024875,0.671236475,0.357043345772,0.357043345772,FALSE
"Naive Method (ADVI)",0.4,3,"beta15",0,0.12939547567,0.171075311610711,-0.190514175,0.456936225,0.12939547567,0.12939547567,TRUE
"Naive Method (ADVI)",0.4,3,"beta16",0,-0.077669331293,0.19589960275666,-0.48054795,0.30062095,-0.077669331293,0.077669331293,TRUE
"Naive Method (ADVI)",0.4,3,"beta17",0,-0.1591483472587,0.196353628019677,-0.555998925,0.2204201,-0.1591483472587,0.1591483472587,TRUE
"Naive Method (ADVI)",0.4,3,"beta18",0,-0.21002532887,0.159453961390456,-0.5111337,0.093662425,-0.21002532887,0.21002532887,TRUE
"Naive Method (ADVI)",0.4,3,"beta19",0,0.30816395912,0.180819078306183,-0.0249501175,0.667364475,0.30816395912,0.30816395912,TRUE
"Naive Method (ADVI)",0.4,3,"beta20",0,-0.030271122419,0.179027631774581,-0.385513525,0.3237805,-0.030271122419,0.030271122419,TRUE
"Proposed Method (ADVI)",0.4,3,"beta1",1,1.001654816,0.176687686193964,0.676430925,1.37268,0.00165481600000006,0.00165481600000006,TRUE
"Proposed Method (ADVI)",0.4,3,"beta2",2,2.39905331,0.25736952890611,1.88870125,2.91574625,0.39905331,0.39905331,TRUE
"Proposed Method (ADVI)",0.4,3,"beta3",3,3.25491761,0.309968828924931,2.6508095,3.883122,0.25491761,0.25491761,TRUE
"Proposed Method (ADVI)",0.4,3,"beta4",-4,-4.61391605,0.422221074534039,-5.44544325,-3.7574195,-0.61391605,0.61391605,TRUE
"Proposed Method (ADVI)",0.4,3,"beta5",-5,-5.72113997,0.487396323659931,-6.62029225,-4.7473495,-0.72113997,0.72113997,TRUE
"Proposed Method (ADVI)",0.4,3,"beta6",0,0.0925219049665,0.179958217658586,-0.274877475,0.42260835,0.0925219049665,0.0925219049665,TRUE
"Proposed Method (ADVI)",0.4,3,"beta7",0,-0.124669574764,0.194452701173919,-0.49268905,0.254342925,-0.124669574764,0.124669574764,TRUE
"Proposed Method (ADVI)",0.4,3,"beta8",0,-0.31610499055,0.163326429686651,-0.63748075,0.015133675,-0.31610499055,0.31610499055,TRUE
"Proposed Method (ADVI)",0.4,3,"beta9",0,0.02715010324769,0.184176401293426,-0.338709375,0.382450075,0.02715010324769,0.02715010324769,TRUE
"Proposed Method (ADVI)",0.4,3,"beta10",0,-0.068191576542,0.144124899669061,-0.346542125,0.211018025,-0.068191576542,0.068191576542,TRUE
"Proposed Method (ADVI)",0.4,3,"beta11",0,0.037146751863,0.177360334062644,-0.2997406,0.385279275,0.037146751863,0.037146751863,TRUE
"Proposed Method (ADVI)",0.4,3,"beta12",0,0.330860406834,0.170494653969021,-0.02096615,0.674381875,0.330860406834,0.330860406834,TRUE
"Proposed Method (ADVI)",0.4,3,"beta13",0,-0.03222990864,0.167927132309725,-0.353754325,0.3044542,-0.03222990864,0.03222990864,TRUE
"Proposed Method (ADVI)",0.4,3,"beta14",0,0.441297568982,0.180576985036556,0.10540455,0.79269275,0.441297568982,0.441297568982,FALSE
"Proposed Method (ADVI)",0.4,3,"beta15",0,0.14021671577,0.157237971569055,-0.162779375,0.45389835,0.14021671577,0.14021671577,TRUE
"Proposed Method (ADVI)",0.4,3,"beta16",0,-0.0868546965595,0.159034766949765,-0.390297,0.232541725,-0.0868546965595,0.0868546965595,TRUE
"Proposed Method (ADVI)",0.4,3,"beta17",0,-0.1867404557446,0.195049638376733,-0.559578125,0.206198675,-0.1867404557446,0.1867404557446,TRUE
"Proposed Method (ADVI)",0.4,3,"beta18",0,-0.237089551172,0.18887963533739,-0.6226309,0.120903875,-0.237089551172,0.237089551172,TRUE
"Proposed Method (ADVI)",0.4,3,"beta19",0,0.28429653223,0.152168768095542,-0.0179043775,0.572952325,0.28429653223,0.28429653223,TRUE
"Proposed Method (ADVI)",0.4,3,"beta20",0,-0.028861763289,0.179859840545468,-0.37714325,0.32238375,-0.028861763289,0.028861763289,TRUE
"Proposed Method (ADVI)",0.4,3,"eta",0.4,0.954674874,0.354738341408508,0.428947075,1.77019175,0.554674874,0.554674874,FALSE
"Naive Method (ADVI)",0.4,4,"beta1",1,0.5310716923719,0.409466545875266,-0.2763757,1.32143375,-0.4689283076281,0.4689283076281,TRUE
"Naive Method (ADVI)",0.4,4,"beta2",2,-0.263726937245,0.68525556961048,-1.5680735,1.06230025,-2.263726937245,2.263726937245,FALSE
"Naive Method (ADVI)",0.4,4,"beta3",3,0.7336953595469,0.621148365903684,-0.514099475,1.94766,-2.2663046404531,2.2663046404531,FALSE
"Naive Method (ADVI)",0.4,4,"beta4",-4,-1.9167237054,0.624881642585574,-3.13485725,-0.73470635,2.0832762946,2.0832762946,FALSE
"Naive Method (ADVI)",0.4,4,"beta5",-5,-2.1185378944,0.76343818869786,-3.6603575,-0.56734325,2.8814621056,2.8814621056,FALSE
"Naive Method (ADVI)",0.4,4,"beta6",0,-1.05933601674,0.600126424718177,-2.25174,0.114906,-1.05933601674,1.05933601674,TRUE
"Naive Method (ADVI)",0.4,4,"beta7",0,-0.061552153371,0.386516466309338,-0.8026695,0.7133187,-0.061552153371,0.061552153371,TRUE
"Naive Method (ADVI)",0.4,4,"beta8",0,-0.000408994049000003,0.408888926387665,-0.821195125,0.825661,-0.000408994049000003,0.000408994049000003,TRUE
"Naive Method (ADVI)",0.4,4,"beta9",0,0.468509188204,0.64225484208455,-0.7525261,1.67253675,0.468509188204,0.468509188204,TRUE
"Naive Method (ADVI)",0.4,4,"beta10",0,-0.47718593127,0.378084211338992,-1.2490145,0.235575275,-0.47718593127,0.47718593127,TRUE
"Naive Method (ADVI)",0.4,4,"beta11",0,-0.62900247961,0.596142750465729,-1.79772475,0.4828269,-0.62900247961,0.62900247961,TRUE
"Naive Method (ADVI)",0.4,4,"beta12",0,0.194681904028,0.500766667383172,-0.82093275,1.1645245,0.194681904028,0.194681904028,TRUE
"Naive Method (ADVI)",0.4,4,"beta13",0,0.068991418541,0.419504887860973,-0.7387507,0.90348205,0.068991418541,0.068991418541,TRUE
"Naive Method (ADVI)",0.4,4,"beta14",0,1.20004947022,0.678083830229534,-0.1284705,2.54897425,1.20004947022,1.20004947022,TRUE
"Naive Method (ADVI)",0.4,4,"beta15",0,0.853251445663,0.6544006296745,-0.408103425,2.14335275,0.853251445663,0.853251445663,TRUE
"Naive Method (ADVI)",0.4,4,"beta16",0,0.265070413914,0.498759007937796,-0.727316025,1.188002,0.265070413914,0.265070413914,TRUE
"Naive Method (ADVI)",0.4,4,"beta17",0,0.94263407371,0.675436734252256,-0.44192335,2.20205825,0.94263407371,0.94263407371,TRUE
"Naive Method (ADVI)",0.4,4,"beta18",0,-0.457770904237,0.417374426233383,-1.2686995,0.36326925,-0.457770904237,0.457770904237,TRUE
"Naive Method (ADVI)",0.4,4,"beta19",0,0.87343475765,0.566483620719273,-0.153992975,2.0284315,0.87343475765,0.87343475765,TRUE
"Naive Method (ADVI)",0.4,4,"beta20",0,0.79881737463,0.511076483180692,-0.238812925,1.856186,0.79881737463,0.79881737463,TRUE
"Proposed Method (ADVI)",0.4,4,"beta1",1,1.084765087,0.183032192232112,0.7476154,1.46973225,0.0847650870000001,0.0847650870000001,TRUE
"Proposed Method (ADVI)",0.4,4,"beta2",2,2.28612246,0.23201740236359,1.82302025,2.754008,0.28612246,0.28612246,TRUE
"Proposed Method (ADVI)",0.4,4,"beta3",3,3.4766734,0.338694999609088,2.81968075,4.16793925,0.4766734,0.4766734,TRUE
"Proposed Method (ADVI)",0.4,4,"beta4",-4,-4.74714955,0.419828277748051,-5.57848,-3.89481725,-0.74714955,0.74714955,TRUE
"Proposed Method (ADVI)",0.4,4,"beta5",-5,-6.08801732,0.535537467776448,-7.09135625,-5.02657625,-1.08801732,1.08801732,FALSE
"Proposed Method (ADVI)",0.4,4,"beta6",0,-0.32825429374,0.157781350362491,-0.650061525,-0.046367435,-0.32825429374,0.32825429374,FALSE
"Proposed Method (ADVI)",0.4,4,"beta7",0,0.200592921928,0.18139384149501,-0.15747595,0.548877275,0.200592921928,0.200592921928,TRUE
"Proposed Method (ADVI)",0.4,4,"beta8",0,-0.4889916411,0.178320699250948,-0.837293025,-0.1390796,-0.4889916411,0.4889916411,FALSE
"Proposed Method (ADVI)",0.4,4,"beta9",0,-0.113021088674,0.177882749484767,-0.484044725,0.2253972,-0.113021088674,0.113021088674,TRUE
"Proposed Method (ADVI)",0.4,4,"beta10",0,-0.2322435783,0.148935026748622,-0.51927865,0.066659495,-0.2322435783,0.2322435783,TRUE
"Proposed Method (ADVI)",0.4,4,"beta11",0,-0.0758098910693,0.168101684175112,-0.4000129,0.253998325,-0.0758098910693,0.0758098910693,TRUE
"Proposed Method (ADVI)",0.4,4,"beta12",0,0.08399299099,0.191028638695428,-0.31255945,0.457528975,0.08399299099,0.08399299099,TRUE
"Proposed Method (ADVI)",0.4,4,"beta13",0,0.056646890275,0.166024510234302,-0.2583009,0.386515375,0.056646890275,0.056646890275,TRUE
"Proposed Method (ADVI)",0.4,4,"beta14",0,0.1092581206926,0.169308777983644,-0.22281455,0.439269775,0.1092581206926,0.1092581206926,TRUE
"Proposed Method (ADVI)",0.4,4,"beta15",0,-0.145475068998,0.156404611662382,-0.45335595,0.145419125,-0.145475068998,0.145475068998,TRUE
"Proposed Method (ADVI)",0.4,4,"beta16",0,0.0573857805909,0.162520354297927,-0.22955095,0.3894035,0.0573857805909,0.0573857805909,TRUE
"Proposed Method (ADVI)",0.4,4,"beta17",0,-0.34548543012,0.18986565887782,-0.692825125,0.0376227549999999,-0.34548543012,0.34548543012,TRUE
"Proposed Method (ADVI)",0.4,4,"beta18",0,-0.0744095082555,0.182414996694538,-0.442442825,0.274741475,-0.0744095082555,0.0744095082555,TRUE
"Proposed Method (ADVI)",0.4,4,"beta19",0,0.0376837124646,0.162061846751684,-0.27236715,0.331741325,0.0376837124646,0.0376837124646,TRUE
"Proposed Method (ADVI)",0.4,4,"beta20",0,0.081164678157,0.160481516477235,-0.250051225,0.400920075,0.081164678157,0.081164678157,TRUE
"Proposed Method (ADVI)",0.4,4,"eta",0.4,0.3263939994,0.276393368116963,0.0550598175,1.013065,-0.0736060006,0.0736060006,TRUE
"Naive Method (ADVI)",0.4,5,"beta1",1,0.930780756,0.195681730474508,0.5449107,1.3086055,-0.069219244,0.069219244,TRUE
"Naive Method (ADVI)",0.4,5,"beta2",2,1.96478349,0.262051879339541,1.44663825,2.48698875,-0.0352165099999999,0.0352165099999999,TRUE
"Naive Method (ADVI)",0.4,5,"beta3",3,3.62927123,0.330957074763666,2.971514,4.266622,0.62927123,0.62927123,TRUE
"Naive Method (ADVI)",0.4,5,"beta4",-4,-4.28411126,0.385328560520974,-5.0170265,-3.575304,-0.28411126,0.28411126,TRUE
"Naive Method (ADVI)",0.4,5,"beta5",-5,-5.33022568,0.441747178409291,-6.169241,-4.48689225,-0.33022568,0.33022568,TRUE
"Naive Method (ADVI)",0.4,5,"beta6",0,-0.0822573708299,0.177560424680544,-0.443441025,0.258757575,-0.0822573708299,0.0822573708299,TRUE
"Naive Method (ADVI)",0.4,5,"beta7",0,0.0860065169766,0.178251695725363,-0.2602166,0.441716025,0.0860065169766,0.0860065169766,TRUE
"Naive Method (ADVI)",0.4,5,"beta8",0,0.219920153751,0.169438407652095,-0.117686925,0.539691475,0.219920153751,0.219920153751,TRUE
"Naive Method (ADVI)",0.4,5,"beta9",0,0.148924868315,0.189119342598231,-0.223731575,0.4844278,0.148924868315,0.148924868315,TRUE
"Naive Method (ADVI)",0.4,5,"beta10",0,0.137594536967,0.148759153564414,-0.17040415,0.41949575,0.137594536967,0.137594536967,TRUE
"Naive Method (ADVI)",0.4,5,"beta11",0,0.21812646505,0.159522997737439,-0.1079472,0.519577475,0.21812646505,0.21812646505,TRUE
"Naive Method (ADVI)",0.4,5,"beta12",0,-0.008262204572,0.164205251244698,-0.3400521,0.31363395,-0.008262204572,0.008262204572,TRUE
"Naive Method (ADVI)",0.4,5,"beta13",0,-0.07986331504,0.16851142355283,-0.3889844,0.253692525,-0.07986331504,0.07986331504,TRUE
"Naive Method (ADVI)",0.4,5,"beta14",0,0.051409044303,0.17750042937824,-0.297596675,0.399206475,0.051409044303,0.051409044303,TRUE
"Naive Method (ADVI)",0.4,5,"beta15",0,-0.3074865630853,0.171629213057854,-0.6469557,0.0112592199999999,-0.3074865630853,0.3074865630853,TRUE
"Naive Method (ADVI)",0.4,5,"beta16",0,-0.025014879753,0.187569975768101,-0.387911025,0.343493425,-0.025014879753,0.025014879753,TRUE
"Naive Method (ADVI)",0.4,5,"beta17",0,0.022757451032,0.180870158737408,-0.33113975,0.368400925,0.022757451032,0.022757451032,TRUE
"Naive Method (ADVI)",0.4,5,"beta18",0,-0.063279464494,0.14284160241816,-0.3236523,0.203542325,-0.063279464494,0.063279464494,TRUE
"Naive Method (ADVI)",0.4,5,"beta19",0,-0.090080312899,0.180101333605871,-0.435344975,0.243821225,-0.090080312899,0.090080312899,TRUE
"Naive Method (ADVI)",0.4,5,"beta20",0,-0.0363598757067,0.183390964368048,-0.393227325,0.3360643,-0.0363598757067,0.0363598757067,TRUE
"Proposed Method (ADVI)",0.4,5,"beta1",1,0.967988132,0.18908475805088,0.6197603,1.36564425,-0.032011868,0.032011868,TRUE
"Proposed Method (ADVI)",0.4,5,"beta2",2,2.01844445,0.240430942122738,1.54087575,2.50117875,0.0184444500000001,0.0184444500000001,TRUE
